mode,id,question,hit,rank,latency_s,top_sources
faiss,1,TDOA水下定位的基本原理是什么？,1,2,0.2828,06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf
faiss,2,未知声速会怎样影响TDOA/FDOA联合定位？,1,1,0.1741,04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf
faiss,3,传感器位置误差为什么会降低TDOA定位精度？,1,1,0.1769,04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf
faiss,4,Majorization-Minimization如何用于水下TDOA定位？,1,1,0.1842,04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf
faiss,5,NLOS条件为什么会给水下传感器网络定位带来偏差？,1,1,0.1905,06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf
faiss,6,RSS测量如何用于水下声学传感器网络目标定位？,1,3,0.1841,06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 07_2018_Target_Localization_in_Underwater_Acoustic_Sensor_Networks_Using_RSS_Measurements.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf
faiss,7,粗到细定位策略在水声通信接收机定位中的作用是什么？,0,,0.1929,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf"
faiss,8,移动目标协同定位中传播速度未知时如何处理？,1,1,0.1892,09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf | 07_2018_Target_Localization_in_Underwater_Acoustic_Sensor_Networks_Using_RSS_Measurements.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf
faiss,9,USBL定位的基本思想是什么？,1,1,0.2129,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf"
faiss,10,全海深USBL定位面临哪些主要误差来源？,1,1,0.1648,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf"
faiss,11,水声多径效应是什么？,1,3,0.1821,24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf | 25_2024_Artificial_Intelligence-Based_Underwater_Acoustic_Target_Recognition__A_Survey.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 12_2021_Passive_Source_Localization_Using_Acoustic_Intensity_in_Multipath-Dominant_Shallow-Water_Waveguide.pdf
